name,tier,categories,type,time,reach,duration,effect
Eyes of Fire,2,"Unique, Repress, Fire",Passive,Automatic,Caster,Passive,"You can cast Fire spells, up to Tier II, without spending uses or Energy, but Repress any spells cast with this effect."
Fire Boost,2,"Unique, Boost, Fire",Passive,Automatic,Caster,Passive,Fire spells you cast deal 25% more damage. This does not stack with other Boost Category spells.
Ignition,2,"Mono, Realized, Fire",Active,Default,1 adjacent target,Until dissipated,"Hit: MAG Fire damage at the end of each turn. Realized: Target creature or object catches on fire. This fire spreads to adjacent objects and targets during target’s turn, including during movement. Target creature can spend its full turn to put the flames out."
Agidyne,3,"Mono, Fire",Active,Default,1 target within 8m,Instant,Hit: MAG10+2 Fire damage.
Ha Agidyne,3,"Multi, Fire",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG8+7 Fire damage.
Maragidyne,3,"Total, Fire",Active,Default,Any # of targets you can see,Instant,Hit: MAG6+4 Fire damage.
Inferno,3,"Mono, Critical, Fire",Active,Default,1 target within 8m,Instant,Hit: MAG8+8 Fire damage. Critical: 49d10+10 extra Fire damage.
Purifying Flames,3,"Total, Death, Fire",Active,Default,Any # of targets you can see,Instant,Hit: MAG6 Fire damage. Enemies hit by this spell whose HP is below 20% HP die instantly.
Fire Amp,3,"Unique, Boost, Fire",Passive,Automatic,Caster,Passive,Fire spells you cast deal 50% more damage. This does not stack with other Boost Category spells.
Pyriphlegton,5,"Mono, Fire",Active,Default,1 target within 10m,Instant,Hit: MAG12+MAG Fire damage.
Rage of Cerberus,5,"Multi, Fire",Active,Default,Up to 3 targets within 7m,Instant,Spend 1 Energy to cast. Hit: MAG12+2MAG Fire damage.
Ragnarok,5,"Total, Repress, Fire",Active,Default,Any # of targets you can see,Instant,Hit: MAG10+7 Fire damage. Pay 1 Aspect Point: You can sacrifice uses of other Fire spells to add +3MAG Fire damage for each spell and Repress this spell.
Titanomachia,5,"Total, Fear, Unique, Status, Fire",Active,Default,Any # of targets you can see,Instant,Pay 1 Aspect Point to cast. Hit: MAG12+104 Fire damage and Fearful chance: 55%
Bufu,1,"Mono, Ice",Active,Default,1 target within 8m,Instant,Hit: MAG8 Ice damage.
Ha Bufu,1,"Multi, Ice",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4 Ice damage.
Mabufu,1,"Total, Ice",Active,Default,Any # of targets you can see,Instant,Hit: MAG4-5 Ice damage.
Bufula,2,"Mono, Ice",Active,Default,1 target within 8m,Instant,Hit: MAG10+2 Ice damage.
Ha Bufula,2,"Multi, Ice",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4+8 Ice damage.
Mabufula,2,"Total, Ice",Active,Default,Any # of targets you can see,Instant,Hit: MAG4 Ice damage.
Ice Waltz,2,"Combo, Ice",Active,Default,Up to 1d6 targets within 7m,Instant,Hit: MAG4+8 Ice damage.
Heatsink,2,"Mono, Realized, Slowed, Status, Ice",Active,Default,1 adjacent target,Instant,"Hit: Slowed chance: 545%. Realized: Heat is drained from the target, freezing it internally. It’s enough to cause mechanical failure or make most materials particularly brittle."
Ice Boost,2,"Unique, Boost, Ice",Passive,Automatic,Caster,Passive,Ice spells you cast deal 25% more damage. This does not stack with other Boost Category spells.
Glacial Gaze,2,"Unique, Repress, Ice",Passive,Automatic,Caster,Passive,"You can cast Ice spells, up to Tier II, without spending its uses or Energy. Repress any spells cast this way."
Bufudyne,3,"Mono, Ice",Active,Default,1 target within 8m,Instant,Hit: MAG12+8 Ice damage.
Ha Bufudyne,3,"Multi, Ice",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG6+6 Ice damage.
Mabufudyne,3,"Total, Ice",Active,Default,Any # of targets you can see,Instant,Hit: MAG4+6 Ice damage.
Absolute Zero,3,"Multi, Move, Ice",Active,Default,Up to 4 targets within 7m,Instant,"Hit: MAG6 Ice damage. Extra: You can decrease the number of targets to deal MAG extra Ice damage to each enemy. If you choose to hit 1 enemy, its movement allowance is decreased to half for three turns."
Diamond Dust,3,"Mono, Realized, Unique, Ice",Active,Default,1 target you can see,Instant,"Hit: MAG12+1 Ice damage. Realized: The space occupied by the enemy slowly freezes. If the enemy does not leave that space until the end of its next turn, it’ll be immobilized in a pillar of ice that restricts movement and reduces all damage reduction by half."
Ice Amp,3,"Unique, Boost, Ice",Passive,Automatic,Caster,Passive,Ice spells you cast deal 50% more damage. This does not stack with other Boost Category spells.
Niflheim,5,"Mono, Ice",Active,Default,1 target within 10m,Instant,Hit: MAG12+302 Ice damage.
Ymir's Breath,5,"Multi, Stun, Status, Ice",Active,Default,Up to 3 targets within 5m,Instant,Hit: MAG8+8 Ice damage; Stunned chance: 100%; Causes Weakness (Physical) until the end of the target’s turn.
Garu,1,"Mono, Wind",Active,Default,1 target within 8m,Instant,Hit: MAG6 Wind damage. HDC +1
Ha Garu,1,"Multi, Wind",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4 Wind damage. HDC +1
Magaru,1,"Total, Wind",Active,Default,Any # of targets you can see,Instant,Hit: MAG4-5 Wind damage. HDC +1
Garula,2,"Mono, Wind",Active,Default,1 target within 8m,Instant,Hit: MAG8 Wind damage. HDC +1
Ha Garula,2,"Multi, Wind",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4+8 Wind damage. HDC +1
Magarula,2,"Total, Wind",Active,Default,Any # of targets you can see,Instant,Hit: MAG4 Wind damage. HDC +1
Wind Ballet,2,"Combo, Wind",Active,Default,Up to 1d6 targets within 7m,Instant,Hit: MAG4+8 Wind damage. HDC+1
Vacuum Wave,2,"Line, Wind",Active,Default,Any # of targets between you and a point within MAGm,Instant,Hit: MAG4+8 Wind damage. HDC +1. Extra: Spend X Energy to increase the HDC by X.
Whirlwind,2,"Realized, Wind",Active,Default,1 target within 6m and any adjacent to it,Instant,Hit: Objects and targets are dragged up to MAG+1d4 meters in a direction determined by the caster.
Wind Boost,2,"Unique, Boost, Wind",Passive,Automatic,Caster,Passive,Wind spells you cast deal 25% more damage. This does not stack with other Boost Category spells.
Wind's Gift,2,"Unique, Repress, Wind",Passive,Automatic,Caster,Passive,"You can cast Wind spells, up to Tier II, without spending uses or Energy. Repress any spells cast this way."
Garudyne,3,"Mono, Wind",Active,Default,1 target within 8m,Instant,Hit: MAG10+2 Wind damage. Choose before casting: HDC +2 OR Critical Margin +2
Ha Garudyne,3,"Multi, Wind",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG6+6 Wind damage. Choose before casting: HDC +2 OR Critical Margin +2
Magarudyne,3,"Total, Wind",Active,Default,Any # of targets you can see,Instant,Hit: MAG4+6 Wind damage Choose before casting: HDC +2 OR Critical Margin +2
Tempest,3,"Mono, Knockdown, Status, Wind",Active,Default,1 target within 8m,Instant,Hit: MAG4+5 Wind damage. Knockdown chance: 100%. Pay 1 Aspect Point: Cast as an Interrupt.
Wind Amp,3,"Unique, Boost, Wind",Passive,Automatic,Caster,Passive,Wind spells you cast deal 50% more damage. This does not stack with other Boost Category spells.
Panta Rhei,5,"Mono, Wind",Active,Default,1 target within 10m,Instant,Hit: MAG12+8 Wind damage. Critical Margin +3
Vortex,5,Wind,Active,Default,A point within 10m,Instant,"Spend 1 Energy. All enemies within an 8 meters radius are dragged up to 5 meters towards the specified point (doesn’t roll for Dodge). After, all enemies within a 3-meter radius around that same point take MAG10+4 Wind damage on hit. HDC +3"
Zio,1,"Mono, Shocked, Status, Thunder",Active,Default,1 target within 8m,Instant,Hit: MAG6 Thunder damage. Shocked chance: 3MAG%
Ha Zio,1,"Multi, Shocked, Status, Thunder",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4 Thunder damage. Shocked chance: 2MAG%
Mazio,1,"Total, Shocked, Status, Thunder",Active,Default,Any # of targets you can see,Instant,Hit: MAG4-5 Thunder damage. Shocked chance: MAG%
Sparking Touch,1,"Mono, Realized, Thunder",Active,Default,1 adjacent target,Instant,Hit: MAG4+5 Thunder damage. Realized: The caster’s touch delivers a burst of electricity strong enough to destroy exposed electronics or create an arc of lightning in metal surfaces.
Zionga,2,"Mono, Shocked, Status, Thunder",Active,Default,1 target within 8m,Instant,Hit: MAG8 Thunder damage. Shocked chance: 6MAG%
Ha Zionga,2,"Multi, Shocked, Status, Thunder",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4+8 Thunder damage. Shocked chance: 5MAG%
Mazionga,2,"Total, Shocked, Status, Thunder",Active,Default,Any # of targets you can see,Instant,Hit: MAG4 Thunder damage. Shocked chance: 4MAG%
Thunder Tango,2,"Combo, Shocked, Status, Thunder",Active,Default,Up to 1d6 targets within 9m,Instant,Hit: MAG4+8 Thunder damage. Shocked chance: 3MAG%
Thunder Boost,2,"Unique, Boost, Thunder",Passive,Automatic,Caster,Passive,Thunder spells you cast deal 25% more damage. This does not stack with other Boost Category spells.
Lightning Rod,2,"Unique, Repress, Thunder",Passive,Automatic,Caster,Passive,"You can cast Thunder spells, up to Tier II, without spending uses or Energy. Repress any spell cast this way."
Ziodyne,3,"Mono, Shocked, Status, Thunder",Active,Default,1 target within 8m,Instant,Hit: MAG10+2 Thunder damage. Shocked chance: 8MAG%
Ha Ziodyne,3,"Multi, Shocked, Status, Thunder",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG6+6 Thunder damage. Shocked chance: 7MAG%
Maziodyne,3,"Total, Shocked, Status, Thunder",Active,Default,Any # of targets you can see,Instant,Hit: MAG4+6 Thunder damage. Shocked chance: 6MAG%
Discharge,3,"Shocked, Status",Active,Default,Any # of targets within 5m of a point within 8m,Instant,Shocked chance: MAG0%
Thunder Amp,3,"Unique, Boost, Thunder",Passive,Automatic,Caster,Passive,Thunder spells you cast deal 50% more damage. This does not stack with other Boost Category spells.
Electric Chains,3,"Mono, Combo, Repress, Thunder",Active,Default,1 target within 8m,Instant,"Hit: MAG4+5 Thunder damage. Spend any number of spell uses from your deck. For each spent spell, roll another attack of this spell. Spend 1 Aspect Point or Repress this spell."
Thunder Reign,5,"Mono, Shocked, Status, Thunder",Active,Default,1 target within 10m,Instant,Hit: MAG12 Thunder damage. Shocked chance: 100%
Strikes Twice,5,"Repress, Thunder",Active,Default,Caster,Instant,"Spend 3 Energy: Until the end of your turn, you can cast Thunder spells in your deck as Free actions. Repress any spells cast under the effect of Strikes Twice. Damage dealt by these spells is added and considered a single instance of damage for the purpose of Hetelic Resistances. Spend 1 Aspect Point or Repress this spell."
Frei,1,"Mono, Nuclear, Buildup",Active,Default,1 target within 8m,Instant,Hit: MAG6+2 Nuclear damage. Gain 1 Buildup counter.
Hafrei,1,"Multi, Nuclear, Buildup",Active,Default,Up to 3 targets within 8m,Instant,Hit: MAG4+4 Nuclear damage. Gain 1 Buildup counter.
Mafrei,1,"Total, Nuclear, Buildup",Active,Default,Any # of targets within 8m,Instant,Hit: MAG4-5 Nuclear damage. Gain 1 Buildup counter.
Anomalous Alpha,1,"Nuclear, Quick, Buildup",Active,Quick,X spaces you can see,Until the end of your next turn,"Spend X Buildup counters. For each counter spent this way, select one space you can see. If any unit starts its turn, moves through, or ends its turn in any of these spaces, you may choose to deal MAG Nuclear damage against that unit, for no action cost, once per unit, and you gain 1 Buildup counter."
Ionizing Blight,1,"Mono, Nuclear, Buildup, Status, Poison",Active,Default,1 target within 6m,Instant,Spend 1 Buildup counter to cast. Poisoned chance: 50%. You may spend X Buildup counters to increase this chance by 10*X%.
Freila,2,"Mono, Nuclear, Buildup",Active,Default,1 target within 8m,Instant,Hit: MAG8 Nuclear damage. Gain 1 Buildup counter
Hafreila,2,"Multi, Nuclear, Buildup",Active,Default,Up to 3 targets within 8m,Instant,Hit: MAG4 + MAG Nuclear damage. Gain 1 Buildup counter.
Mafreila,2,"Total, Nuclear, Buildup",Active,Default,Any # of targets within 8m,Instant,Hit: MAG4 Nuclear damage. Gain 1 Buildup counter.
Nuclear Boost,2,"Unique, Boost, Nuclear",Passive,Automatic,Caster,Passive,Nuclear spells you cast deal 25% more damage. This does not stack with other Boost Category spells.
Beta Bubble,2,"Nuclear, Buff, Quick, Buildup",Active,Quick,1 ally within 6m,Until the end of your next turn,"Target gains the following effect: Whenever you hit a spell that deals damage to a target, that spell deals +SKL Nuclear damage. Additionally, grant 1 Buildup counter to the caster of this effect."
Metamorphosis,2,"Nuclear, Buildup, Quick, Buff, Debuff",Active,Quick,Caster,3 rounds,"Spend 1 Buildup counter, then choose: 1) +3 STR, -2 TEC, OR 2) +2 MAG, -1 TEC, OR 3) +2 TEC, -1 STR, -1 MAG, OR 4) +1 Upper Range for all attacks. (Attacks that target “all adjacent units” also target “all units within 2 meters of the original target”). These are considered Buff effects."
Freidyne,3,"Mono, Nuclear, Buildup",Active,Default,1 target within 8m,Instant,Hit: MAG10+2 Nuclear damage. Gain 1 Buildup counter.
Hafreidyne,3,"Multi, Nuclear, Buildup",Active,Default,Up to 3 targets within 8m,Instant,Hit: MAG8 Nuclear damage. Gain 1 Buildup counter.
Mafreidyne,3,"Total, Nuclear, Buildup",Active,Default,Any # of targets within 8m,Instant,Hit: MAG4+9 Nuclear damage. Gain 1 Buildup counter
Nuclear Amp,3,"Unique, Nuclear, Boost",Passive,Automatic,Caster,Passive,Nuclear spells you cast deal 50% more damage. Does not stack with other Boost Category spells.
Gamma Growth,3,"Nuclear, Buildup, Slowed, Stunned, Shocked, Status",Active,Default,1 target you can see,Instant,"Spend 2 Buildup counters, then choose: 1) Slowed chance: 70%, 2) Stunned chance: 50%, 3) Shocked chance: 32%"
Orbital Strike,5,"Mono, Nuclear, Buildup, Realized",Active,Default,1 target within 10m,Instant,"Hit: MAG12 + MAG Nuclear damage. Gain 1 Buildup counter. You can choose to Realize: The energy from this attack can burn a hole through most materials, creating a hole up to 1 meter deep and wide on its point of impact."
End of Days,5,"Unique, Multi, Nuclear, Buildup, Repress",Active,Default,Up to 3 targets within 8m,Instant,Hit: MAG10 Nuclear damage. Gain 1 Buildup counter. You can Repress to add the following effect: Restore 2 Energy for each target killed by this spell.
Mutually Assured Destruction,5,"Nuclear, Quick, Buildup",Active,Quick,Caster,Until the end of your next turn,"Whenever you take damage from any source, you may spend 1 Energy or 2 Buildup counters: Cast Frei against one target for no action cost. These casts cannot roll for Critical hits."
Neutronic Devolution,5,"Nuclear, Buildup, Buff, Debuff",Active,Default,1 target you can see,3 rounds,"Spend 2 Buildup counters, then choose: 1) -3 STR, -3 TEC, OR 2) -3 MAG, -3 AGI, OR 3) -2 STR, -2 MAG, -2 TEC. These are considered Debuff effects."
Psi,1,"Mono, PSY, Ingrain",Active,Default,1 target within 8m,Instant,Hit: MAG6+3 PSY damage and Ingrain.
Hapsi,1,"Multi, PSY, Ingrain",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4+2 PSY damage and Ingrain.
Mapsi,1,"Total, PSY, Ingrain",Active,Default,Any # of targets within 7m,Instant,Hit: MAG4-3 PSY damage and Ingrain.
Psio,2,"Mono, PSY, Ingrain",Active,Default,1 target within 8m,Instant,Hit: MAG8+3 PSY damage and Ingrain.
Hapsio,2,"Multi, PSY, Ingrain",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4+11 PSY damage and Ingrain.
Mapsio,2,"Total, PSY, Ingrain",Active,Default,Any # of targets within 7m,Instant,Hit: MAG4+4 PSY damage and Ingrain.
Shirk,2,"Mono, PSY, Status, Heal, Quick",Active,Default,1 target within 8m,Instant,"Choose one Status you’re afflicted with. You are cured of that Status, and that Status is applied to the target (no check). Spend 1 Energy: This is considered a Quick action and can be cast even if you are Panicked."
PSY Boost,2,"Unique, Boost, PSY",Passive,Automatic,Caster,Passive,PSY spells you cast deal 25% more damage. This does not stack with other Boost Category spells.
Psiodyne,3,"Mono, PSY, Ingrain",Active,Default,1 target within 8m,Instant,Hit: MAG10+5 PSY damage and Ingrain.
Hapsiodyne,3,"Multi, PSY, Ingrain",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG8 PSY damage and Ingrain.
Mapsiodyne,3,"Total, PSY, Ingrain",Active,Default,Any # of targets within 7m,Instant,Hit: MAG6 PSY damage and Ingrain.
Imprint,3,"PSY, Status, Ingrain",Active,Default,1 target within 8m,Instant,"Choose 1 Status the target is suffering from. Then, choose another unit within 8 meters. The second unit is inflicted with that Status effect (no check), then Ingrain that Status effect on both targets, if possible."
PSY Amp,3,"Unique, Boost, PSY",Passive,Automatic,Caster,Passive,PSY spells you cast deal 50% more damage. This does not stack with other Boost Category spells
Psycho Force,5,"Mono, PSY, Ingrain",Active,Default,1 target within 8m,Instant,Hit: MAG12+10 PSY damage and Ingrain.
Psycho Blast,5,"Total, PSY, Ingrain",Active,Default,Any # of targets within 7m,Instant,Hit: MAG10+MAG PSY damage and Ingrain.
Mass Hysteria,5,"Total, PSY, Quick, Ingrain",Active,Quick,Any # of targets within 5m,Until the end of your next turn,"This spell does not allow for dodge checks. Until the end of your next turn, targets hit by this spell  cannot perform the LCK roll to avoid Status effects and cannot recover from Status."
Hama,1,"Mono, Light",Active,Default,1 target,Instant,Deals 20+3TEC% of the target’s current HP as damage (max 40%).
Ha Hama,1,"Multi, Light",Active,Default,1 target and all adjacent targets,Instant,Deals 10+2TEC% of the target’s current HP as damage (max 30%).
Mahama,1,"Total, Light",Active,Default,Any # of targets,Instant,Deals 10+TEC% of the target’s current HP as damage (max 30%).
Radiant Firmament,1,"Unique, Free, Zenith",Active,Free,1 space within 2m,Permanent,"This spell costs zero SP to acquire and its Energy cost is always zero. This spell cannot be Repressed. Place a Zenith of Radiance in one unoccupied space within this spell’s range, or move your current Zenith up to 4m in any direction."
Kouha,1,"Mono, Light, Bless",Active,Default,1 target within 6m,Instant,Hit: MAG6 Light damage. Bless: Any number of targets within range of your Zenith gain Fortify All MAG/2 (Minimum 1). This is considered a Buff effect that stacks with other Buff effects.
Hakouha,1,"Multi, Light, Bless",Active,Default,Up to 3 targets within 6m,Instant,"Hit: MAG4 Light damage. Bless: Enemies cannot enter your Zenith’s range. If targets are already within range, they are moved to the closest possible point outside of your Zenith’s range, no check."
Makouha,1,"Total, Light, Bless",Active,Default,Any # of targets within 6m,Instant,"Hit: MAG4-5 Light damage. Bless: Extend the duration of Tier I Taru, Raku and Suku Buff effects active on targets within your Zenith’s range by 1 round."
Kouga,2,"Mono, Light, Bless",Active,Default,1 target within 6m,Instant,Hit: MAG8 Light damage. Bless: Any number of targets within range of your Zenith gain Evade 1 against one Type of their choice. This is considered a Buff effect that stacks with other Buff effects.
Hakouga,2,"Multi, Light, Bless",Active,Default,Up to 3 targets within 6m,Instant,"Hit: MAG4+5 Light damage. Bless: Enemies cannot enter your Zenith’s range . If targets are already within range, they are moved to the closest possible point outside of your Zenith’s range and take MAG Light damage, no check."
Makouga,2,"Total, Light, Bless",Active,Default,Any # of targets within 6m,Instant,"Hit: MAG4 Light damage. Bless: Extend the duration of Tier II Taru, Raku and Suku Buff effects active on targets within your Zenith’s range by 1 round."
Immaculate Pulse,2,"Zenith, Quick",Active,Quick,Caster,Instant,"Spend 1 Energy. Bless: Whenever an ally within your Zenith’s range declares an attack, that attack deals +MAG Light damage on hit. Each User can only benefit from the effects of this spell once per round, regardless of how many Zeniths they come within range of that round."
Hamaon,3,"Mono, Light",Active,Default,1 target,Instant,Deals 40+3TEC% of the target’s current HP as damage (max 70%).
Ha Hamaon,3,"Multi, Light",Active,Default,1 target and all adjacent targets,Instant,Deals 20+2TEC% of the target’s current HP as damage (max 50%).
Mahamaon,3,"Total, Light",Active,Default,Any # of targets,Instant,Deals 10+TEC% of the target’s current HP as damage (max 50%).
Shining Arrows,3,"Combo, Light",Active,Default,Up to 1d6 targets within 5m,Instant,Deals 15% of the target’s current HP as damage.
Kougaon,3,"Mono, Light, Bless",Active,Default,1 target within 6m,Instant,Hit: MAG10 Light damage. Bless: Any number of targets within range of your Zenith take half damage from the next damage instance they take.
Hakougaon,3,"Multi, Light, Bless",Active,Default,Up to 3 targets within 6m,Instant,"Hit: MAG6+5 Light damage. Bless: If an enemy declares an attack against a target that is within your Zenith’s range, that enemy takes MAG Light damage, once per round."
Makougaon,3,"Total, Light, Bless",Active,Default,Any # of targets within 6m,Instant,"Hit: MAG4+6 Light damage. Bless: Extend the duration of Tier III Taru, Raku and Suku Buff effects active on targets within your Zenith’s range by 1 round."
Blessing of the Golden,3,"Zenith, Defense",Held,Default,Zenith,Held,"Bless: Grant your Zenith a shield with HP equal to 2STR. Whenever an ally within range of your Zenith would take damage, they may instead choose to subtract that damage from the Zenith’s shield. Each character can only benefit from this effect once per round, regardless of how many Zeniths they are within range of. At the start of your turn, if this effect is active, you may spend 2 Energy to extend this effect and restore MAG points of the Zenith’s shield (Quick)."
Banishment,5,"Mono, Repress, Light",Active,Default,1 target,Instant,"Reduce the target to 1 HP. If this spell isn’t Nulled or Reflected, Repress. Drain Light fully heals the target’s HP. Against targets with Hetelic Resistances, this spell deals 10% of the target’s maximum HP as Light damage and treats Null Light as Resist."
Innocent Sin,5,Light,Active,Default,1 target,Instant,Deals 62% of the target’s current HP as damage.
Equalize,5,"Total, Repress, Light",Active,Default,Any # of targets,Instant,"Adds the total HP of all targets and distributes it equally among all, as long as the amount of HP does not exceed the maximum amount of HP of any target. If that happens, all targets’ HP are set to the highest possible HP, the lowest maximum HP on the targets. Repress."
Samsara,5,"Total, Light",Active,Default,Any # of targets,Instant,Pay 1 Aspect Point: Deals 20+2TEC% of the target’s current HP as damage.
Eternal Jewel,5,"Mono, Light, Bless, Repress",Active,Default,1 target within 6m,Instant,Hit: MAG12+MAG Light damage. Repress to Bless: Any number of targets within the Zenith’s range have all their Type Weakness interactions become Neutral.
Final Moment,5,"Multi, Light, Bless, Death, Repress",Active,Default,Up to 3 targets within 6m,Instant,"Hit: MAG8+4 Light damage Bless: Any number of targets within the Zenith’s range take 2MAG Light damage. After this, Repress to Bless: Any number of targets whose HP is below 20% and are within the Zenith’s range or enter it for the duration of this effect are killed."
The Third Secret,5,"Total, Light, Bless, Repress",Active,Default,Any # of targets within 6m,Instant,"Hit: MAG8 Light damage. Bless: Extend the duration of Tier V Taru, Raku and Suku Buff effects active on targets within your Zenith’s range by 1 round. Repress to Bless: Any number of targets within your Zenith’s range recover 2 Energy."
